continent_v117,all_waterbodies,all_twh,l1_waterbodies,l1_twh,core_l2_lower_waterbodies,core_l2_lower_twh,core_l2_upper_waterbodies,core_l2_upper_twh,conservative_l2_lower_waterbodies,conservative_l2_lower_twh,conservative_l2_upper_waterbodies,conservative_l2_upper_twh,core_l3_lower_waterbodies,core_l3_lower_twh,core_l3_upper_waterbodies,core_l3_upper_twh,conservative_l3_lower_waterbodies,conservative_l3_lower_twh,conservative_l3_upper_waterbodies,conservative_l3_upper_twh
Africa,3769,1061.910466719643,3769,1061.910466719643,1524,533.8035449577098,1869,593.2376195163191,1132,293.80864444267223,1436,340.84157713299163,348,106.07657121064815,1046,336.8847995077741,283,57.81397708110708,851,223.7855016778829
Asia,20547,3324.588788556907,18913,3111.60607489909,7904,1528.4829360127105,11297,1885.1162446683143,7564,1393.324085802841,10876,1713.172434700906,2650,518.4850933941573,6282,1254.4847403191434,2548,489.80670620065814,6032,1158.21799088961
Europe,50266,2543.3944592135863,17533,1306.8274133356053,5170,370.47241182507906,5964,393.8905540275529,3164,170.1788606143092,3658,180.91434600541314,4123,269.6895233325782,5681,372.392159650496,2465,116.66963554090383,3448,167.23583044326608
North America,112519,7606.974472248973,26619,3354.3350636477217,5619,1038.453294234511,6918,1143.898294219334,4658,624.2273378613937,5854,691.6366549065277,3533,537.2869802228456,6384,1055.617708459406,2925,325.9272787853085,5403,626.486044818596
Oceania,3326,692.7851805345466,3326,692.7851805345466,250,64.17085507296156,286,66.89798594562522,215,42.365160508538644,251,45.09229138120231,129,26.98410541446673,220,47.35391248425418,115,20.947438725348178,192,34.52945863045102
South America,9549,1483.3355841494183,9509,1467.2074474511558,1938,654.7565183274503,2136,721.5753699392513,1488,390.4156262626923,1655,432.7831363977509,301,136.07206432744653,780,441.54901974983903,213,89.35594570512505,563,283.33837854464286
