stage,waterbodies,generation_twh
L0_reference,199976,16712.988951423074
L1_ice,79669,10994.671646587763
core_conservation,68111,8182.132849891264
core_population,33157,5058.491841418713
core_L2_lower,22405,4190.139560430422
conservative_conservation,56865,6047.3093026282395
conservative_population,27840,3607.179185559343
conservative_L2_lower,18221,2914.319715492447
