scenario,reservoir_coverage_fraction,lake_coverage_fraction,footprint_cap_km2,l0_generation_twh,l1_generation_twh,l1_retention_pct
uniform_5pct,0.05,0.05,30.0,7742.765759829469,4724.131800109181,61.013492421772916
uniform_10pct,0.1,0.1,30.0,13908.881646410122,8239.970053364432,59.242506067992636
uniform_20pct,0.2,0.2,30.0,24605.779856513014,14106.008804506395,57.32802978310241
uniform_30pct,0.3,0.3,30.0,34189.631072181015,19179.352486316155,56.09698579614615
reservoir20_lake10,0.2,0.1,30.0,15454.535400296783,9757.637159505533,63.1376932839932
reservoir30_lake10_reference,0.3,0.1,30.0,16712.988951423074,10994.671646587763,65.78519065945765
reservoir30_lake20,0.3,0.2,30.0,25864.2334076393,15343.043291588625,59.3214693425125
