country_v117,all_waterbodies,all_twh,l1_waterbodies,l1_twh,core_l2_lower_waterbodies,core_l2_lower_twh,core_l2_upper_waterbodies,core_l2_upper_twh,conservative_l2_lower_waterbodies,conservative_l2_lower_twh,conservative_l2_upper_waterbodies,conservative_l2_upper_twh,core_l3_lower_waterbodies,core_l3_lower_twh,core_l3_upper_waterbodies,core_l3_upper_twh,conservative_l3_lower_waterbodies,conservative_l3_lower_twh,conservative_l3_upper_waterbodies,conservative_l3_upper_twh
Hungary,87,11.721158779314557,87,11.721158779314557,47,5.775700905988779,50,5.892531469338642,22,0.4693297776960018,22,0.4693297776960018,39,4.498934117658594,50,5.892531469338642,20,0.43959353304159166,22,0.4693297776960018
Iceland,201,14.684410978523914,140,6.71463176859478,7,0.11534313906409088,7,0.11534313906409088,5,0.05422979986177145,5,0.05422979986177145,7,0.11534313906409088,7,0.11534313906409088,5,0.05422979986177145,5,0.05422979986177145
India,2359,490.8630492623799,2350,490.5224245709154,1171,361.94702233513254,1603,443.14838473359936,1132,337.5239938614422,1558,416.76751427359267,546,150.01840737757658,1484,426.1787543238012,534,144.5523492198106,1446,400.882870620729
Indonesia,769,100.81959444255278,769,100.81959444255278,380,66.27094863048656,403,70.72881227875311,363,50.148619592109654,386,54.60648324037621,58,12.929690741637641,174,33.01262060615615,57,12.770270176751787,168,32.445391656999966
Iran,174,82.43187132174019,174,82.43187132174019,34,25.477350732516445,76,42.575707517846844,31,24.41138352711339,69,38.63587316899553,10,7.21641824597603,42,21.717937758259843,10,7.21641824597603,39,20.906863170237635
Iraq,97,54.776623232584335,97,54.776623232584335,25,35.016520745382714,28,37.988701318590856,16,17.309275959725944,19,20.28145653293409,9,9.09356464974814,14,22.730447002043615,6,3.462337152767097,10,12.36407350114767
Ireland,113,12.377690575737523,113,12.377690575737523,42,6.254640258089642,44,6.3330502182694675,18,0.41134292743463413,20,0.4897528876144601,36,5.2106996643848085,44,6.3330502182694675,15,0.32671039601914725,20,0.4897528876144601
Israel,4,5.208928880753258,4,5.208928880753258,4,5.208928880753258,4,5.208928880753258,2,1.559986503672942,2,1.559986503672942,1,0.9615298202328073,3,2.521516323905749,0,0.0,2,1.559986503672942
Italy,428,43.27743445535665,428,43.27743445535665,178,15.647948308946942,259,21.235166093339867,85,3.0216130828263563,138,3.758690501171003,127,13.296582529760162,259,21.235166093339867,62,2.20486666892503,138,3.758690501171003
Ivory Coast,42,25.6485084091048,42,25.6485084091048,26,13.056819047160953,26,13.056819047160953,19,9.341796377591459,19,9.341796377591459,3,3.863862362144139,14,10.234454048660243,3,3.863862362144139,11,8.939490414363105
Jamaica,6,0.2951027696458659,6,0.2951027696458659,3,0.1139085685201631,4,0.11742617477539999,1,0.06504037861779752,1,0.06504037861779752,0,0.0,3,0.05238579615760248,0,0.0,0,0.0
Japan,691,38.714066463386544,691,38.714066463386544,225,5.3996252549499575,268,5.640891840807802,165,3.5335276278946246,203,3.7563379151655343,158,4.204877893839707,262,5.546597026271486,122,2.9873638936685,197,3.662043100629218
Jersey,3,0.0046582542430282994,3,0.0046582542430282994,0,0.0,3,0.0046582542430282994,0,0.0,2,0.0028454542792374846,0,0.0,3,0.0046582542430282994,0,0.0,2,0.0028454542792374846
Jordan,12,7.173914041655202,12,7.173914041655202,8,1.968301387153363,9,2.0010173704783454,6,1.905788813963084,7,1.9385047972880665,7,1.8496803123290315,9,2.0010173704783454,5,1.7871677391387526,7,1.9385047972880665
Kazakhstan,3450,357.0078014665956,2936,330.4755742106126,223,50.302258150041354,223,50.302258150041354,219,49.89536942049168,219,49.89536942049168,105,13.41208544396603,142,22.331418719019318,104,13.26611509118108,141,22.185448366234368
Kenya,45,18.131100669719487,45,18.131100669719487,22,7.893655736009407,25,7.912515058925292,17,5.026773717776351,18,5.04298124096171,2,0.5315482143888324,13,5.00648735888529,2,0.5315482143888324,10,4.592750396804721
Kiribati,22,1.0584630874232746,22,1.0584630874232746,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Kosovo,4,0.6549929638497725,4,0.6549929638497725,4,0.6549929638497725,4,0.6549929638497725,3,0.33273326751830484,3,0.33273326751830484,3,0.46755060364753104,4,0.6549929638497725,2,0.14529090731606345,3,0.33273326751830484
Kuwait,1,0.028969109521591277,1,0.028969109521591277,1,0.028969109521591277,1,0.028969109521591277,1,0.028969109521591277,1,0.028969109521591277,1,0.028969109521591277,1,0.028969109521591277,1,0.028969109521591277,1,0.028969109521591277
Kyrgyzstan,33,18.92576566992636,23,11.872195147503394,16,7.4092061076523565,17,7.77469616491444,16,7.4092061076523565,17,7.77469616491444,7,5.826999445521522,10,6.304894216725865,7,5.826999445521522,10,6.304894216725865
Laos,21,22.562153850981918,21,22.562153850981918,9,4.843810720219354,14,16.539711071092665,7,0.3977206201461283,10,7.854322798744886,5,0.40752027800956137,11,12.549932219614842,4,0.2973770319809791,8,7.654923010548464
Latvia,131,7.997883300638684,131,7.997883300638684,35,1.8848894837388404,35,1.8848894837388404,31,1.8091280000782999,31,1.8091280000782999,26,1.6619298664200908,32,1.8255793993944427,23,1.6049541616102883,28,1.7498179157339024
Lebanon,2,0.2748974229813926,2,0.2748974229813926,1,0.2685199706505912,2,0.2748974229813926,0,0.0,1,0.00637745233080139,1,0.2685199706505912,2,0.2748974229813926,0,0.0,1,0.00637745233080139
Lesotho,7,3.1171035159516425,7,3.1171035159516425,6,3.109540085230045,6,3.109540085230045,5,1.313933266818236,5,1.313933266818236,3,0.04655445459314635,6,3.109540085230045,3,0.04655445459314635,5,1.313933266818236
Liberia,6,2.9594978652682933,6,2.9594978652682933,5,2.921579713335605,5,2.921579713335605,3,1.2291959325692832,3,1.2291959325692832,0,0.0,2,1.1957837610589452,0,0.0,1,1.1439249256257442
Libya,28,5.46209669299819,28,5.46209669299819,8,2.2379632654394883,10,3.129330207244347,8,2.2379632654394883,10,3.129330207244347,5,1.9262363483763192,10,3.129330207244347,5,1.9262363483763192,10,3.129330207244347
Lithuania,165,6.906223072654482,165,6.906223072654482,60,3.7841886514326224,61,3.8915277372464248,36,1.1383021736174697,37,1.245641259431272,55,3.533016217366184,61,3.8915277372464248,31,0.8871297395510312,37,1.245641259431272
Luxembourg,1,0.051069083258068054,1,0.051069083258068054,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Madagascar,271,31.82699501574009,271,31.82699501574009,166,19.619010910081993,166,19.619010910081993,136,12.520711092942125,136,12.520711092942125,1,0.82574844504682,4,1.426328643404781,1,0.82574844504682,4,1.426328643404781
Malawi,15,15.20308491800845,15,15.20308491800845,8,5.398028886950776,9,5.520738730268385,7,0.4961047906188868,8,0.6188146339364965,0,0.0,0,0.0,0,0.0,0,0.0
Malaysia,66,29.409263359188934,66,29.409263359188934,41,8.881738377783542,51,11.862602492810423,33,5.738187117678119,41,8.123111626756137,10,0.6899315692933029,41,10.907745040140892,8,0.6497321256194152,32,7.196349308375747
Mali,110,28.311837688856293,110,28.311837688856293,19,10.374793212658455,19,10.374793212658455,6,5.405972473313393,6,5.405972473313393,0,0.0,1,5.1997428714315275,0,0.0,1,5.1997428714315275
Mauritania,22,12.07552966963902,22,12.07552966963902,6,5.513827236893896,6,5.513827236893896,6,5.513827236893896,6,5.513827236893896,2,0.063936268290174,5,0.15491022222453432,2,0.063936268290174,5,0.15491022222453432
Mauritius,7,0.4919314056888631,7,0.4919314056888631,6,0.3484526937551615,7,0.4919314056888631,5,0.31644155602567525,6,0.45992026795937685,2,0.05346486216788299,7,0.4919314056888631,1,0.02145372443839671,6,0.45992026795937685
Mexico,986,219.3310540034982,985,217.3189352051329,429,118.87391604201598,455,122.52703478639003,318,76.88750885223757,337,78.60792226891942,99,38.2783874221001,230,86.94718727379382,69,28.809275330776444,160,50.13499845447304
Moldova,26,2.175845505887875,26,2.175845505887875,20,2.0582994903403273,20,2.0582994903403273,9,0.22438063056986582,9,0.22438063056986582,16,1.8537728887051559,20,2.0582994903403273,9,0.22438063056986582,9,0.22438063056986582
Mongolia,388,87.60652390897177,121,62.75772870680602,7,6.445956351150565,7,6.445956351150565,7,6.445956351150565,7,6.445956351150565,4,1.3310639209612496,4,1.3310639209612496,4,1.3310639209612496,4,1.3310639209612496
Montenegro,12,2.226320500672079,12,2.226320500672079,6,1.6052007118839469,8,1.6510711114938768,3,1.3786450767838407,4,1.4064572981208447,4,0.653168909948177,7,1.6296704724953097,2,0.4480139138466379,4,1.4064572981208447
Morocco,62,25.127521089111905,62,25.127521089111905,32,20.06665732249652,45,23.432770848186586,18,10.989014055529502,26,12.298487017876688,12,9.19347544105672,43,23.229591045393132,3,1.3780168332715343,26,12.298487017876688
Mozambique,142,42.102280620460455,142,42.102280620460455,65,23.678125521989184,65,23.678125521989184,58,21.735544022540342,58,21.735544022540342,12,9.522998067236726,25,14.551943493095937,12,9.522998067236726,24,14.346041217756781
Myanmar,118,44.566343994705015,118,44.566343994705015,51,12.06159016281081,61,31.205887619593298,50,12.040785975660206,60,31.185083432442696,4,0.22015603405134387,11,10.044633685159832,3,0.19935184690073926,10,10.023829498009228
Namibia,49,12.604122091519056,49,12.604122091519056,8,7.303759461988091,10,7.350505399103134,4,5.764733322732502,6,5.811479259847545,1,0.007615819575477238,6,0.6258727545941603,1,0.007615819575477238,3,0.07116164762281701
Nepal,10,0.6372171414434836,8,0.523737740883081,4,0.1614466028014394,6,0.33486672706857984,2,0.07196220245668261,3,0.08861484313577934,2,0.06873766014407477,5,0.3182140863894831,1,0.016389904605134346,2,0.07196220245668261
Netherlands,91,16.029273535032033,91,16.029273535032033,37,1.1551540782296592,37,1.1551540782296592,4,0.0588876093061213,4,0.0588876093061213,32,1.067561993955849,34,1.0950466212295529,3,0.0364409054892218,3,0.0364409054892218
New Caledonia,1,1.5126769954504962,1,1.5126769954504962,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
New Zealand,182,53.31593238258644,182,53.31593238258644,33,4.050314560927943,36,4.056611354398731,33,4.050314560927943,36,4.056611354398731,29,3.9846367131373417,36,4.056611354398731,29,3.9846367131373417,36,4.056611354398731
Nicaragua,64,18.332119887818422,64,18.332119887818422,6,1.82920793060255,6,1.82920793060255,3,0.17376706329828345,3,0.17376706329828345,2,1.5553165306580343,3,1.5722269933991975,1,0.1336991686579112,2,0.1506096313990743
Niger,23,0.9327184453611688,23,0.9327184453611688,6,0.22093313193482977,6,0.22093313193482977,5,0.17852431664605672,5,0.17852431664605672,1,0.04240881528877305,1,0.04240881528877305,0,0.0,0,0.0
Nigeria,130,59.88507005993324,130,59.88507005993324,90,47.293189579599016,91,47.48558817185553,74,25.664408400637022,75,25.856806992893535,3,0.5971563853988427,18,16.67126356691266,2,0.3579600628071661,13,6.083294518702522
North Korea,86,14.455526803136474,86,14.455526803136474,79,10.772128864599368,82,14.202920283416471,79,10.772128864599368,82,14.202920283416471,45,4.860897307656872,65,11.590826041069134,45,4.860897307656872,65,11.590826041069134
North Macedonia,27,9.947230944197067,27,9.947230944197067,14,1.354631519940095,20,1.5019838258959095,11,0.8306032573732113,16,0.9493356911706069,7,0.671508854725756,18,1.4518277405728277,6,0.6664603317981429,14,0.8991796058475251
Northern Cyprus,2,0.005340920057607081,2,0.005340920057607081,0,0.0,2,0.005340920057607081,0,0.0,2,0.005340920057607081,0,0.0,2,0.005340920057607081,0,0.0,2,0.005340920057607081
Norway,2316,113.13109728135235,1447,66.82697257190468,199,4.777153503579377,206,4.945453341089903,192,4.646212731751773,199,4.814512569262299,158,4.01180558568434,178,4.549224394366146,154,3.9260927018941185,172,4.430504280427668
Oman,2,0.1935752088938838,2,0.1935752088938838,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pakistan,149,44.19160504732239,143,43.925063576942804,79,18.74227797365872,98,29.95666418955024,65,17.964541287654114,83,29.152506977272797,22,11.486011592503752,48,16.74748795735837,21,11.355087559678587,46,16.57163688045467
Panama,23,11.277805153486463,23,11.277805153486463,8,0.737657878937675,10,1.1764625486676512,7,0.663100456492257,8,0.7541021693454644,3,0.07714697473942456,9,1.1225483203969782,3,0.07714697473942456,7,0.7001879410747914
Papua New Guinea,226,25.692312424651323,226,25.692312424651323,48,12.255067482764382,48,12.255067482764382,45,10.523342051061622,45,10.523342051061622,1,0.04744007603678932,3,1.2539192034289364,1,0.04744007603678932,3,1.2539192034289364
Paraguay,52,13.383360790396859,52,13.383360790396859,4,0.514101444556591,4,0.514101444556591,4,0.514101444556591,4,0.514101444556591,0,0.0,2,0.47541915035857585,0,0.0,2,0.47541915035857585
Peru,488,55.280383572571665,488,55.280383572571665,105,15.977964298888466,105,15.977964298888466,91,10.29636561765691,91,10.29636561765691,17,2.7378913998137766,43,9.765435933798102,14,2.4273095437213428,37,4.341349620185458
