ice_source,waterbodies,passed,pass_rate_pct,l0_generation_twh,l1_generation_twh
woolway_air_temperature_lag_model_1991_2020,112703,48709,43.218902779872764,4761.19145618464,3330.927248831337
nasa_power_monthly_temp_proxy_2019_2023,55929,21606,38.63112160060076,5934.209176618169,5205.531645607705
li_ccr_modis_phenology_2002_2020,31344,9354,29.843032159264933,6017.588318620265,2458.212752148721
