protection,endpoint,missing_case,countries_with_demand,matched_final_consumption_twh,L1_generation_twh,L1_matched_generation_twh,L1_matched_demand_ratio_pct,L1_countries_ge_10pct,L1_countries_ge_50pct,L1_countries_ge_100pct,L1_water_saving_known_subset_km3,L1_evap_generation_coverage_pct,L2_generation_twh,L2_matched_generation_twh,L2_matched_demand_ratio_pct,L2_countries_ge_10pct,L2_countries_ge_50pct,L2_countries_ge_100pct,L2_water_saving_known_subset_km3,L2_evap_generation_coverage_pct,L3_generation_twh,L3_matched_generation_twh,L3_matched_demand_ratio_pct,L3_countries_ge_10pct,L3_countries_ge_50pct,L3_countries_ge_100pct,L3_water_saving_known_subset_km3,L3_evap_generation_coverage_pct
conservative,lower,restricted,142,25090.068055555555,16712.988951423074,16542.417352635704,65.9321342453386,119,83,59,218.93654777846524,92.89219422199318,3416.4030279651097,3370.767063102914,13.43466687949674,77,28,14,55.90147140561587,96.26723959826865,551.2325337933556,548.8479811323298,2.187510930289412,14,0,0,9.845293593671812,98.71414175985812
conservative,lower,unadjusted,142,25090.068055555555,16712.988951423074,16542.417352635704,65.9321342453386,119,83,59,218.93654777846524,92.89219422199318,3487.8371643738783,3440.863746482716,13.714047083745651,80,28,15,56.715148343911366,95.47768332074732,583.365027942642,580.6439709673277,2.314238326024624,14,0,0,10.257633742619005,97.3724080965975
conservative,upper,restricted,142,25090.068055555555,16712.988951423074,16542.417352635704,65.9321342453386,119,83,59,218.93654777846524,92.89219422199318,3877.2265683531846,3828.178825782966,15.257745882978242,82,32,18,64.26062837942376,96.7108927697873,1276.0968765550192,1266.6985514557514,5.048605482659395,35,8,3,23.702599226258627,98.89347495487006
conservative,upper,unadjusted,142,25090.068055555555,16712.988951423074,16542.417352635704,65.9321342453386,119,83,59,218.93654777846524,92.89219422199318,3948.982550100039,3898.596271271989,15.538404529790602,83,32,19,65.07848368183043,96.00578022747511,1350.5853265396145,1339.5250595731904,5.338865787877315,36,10,3,24.75776768818134,97.69069893753064
core,lower,restricted,142,25090.068055555555,16712.988951423074,16542.417352635704,65.9321342453386,119,83,59,218.93654777846524,92.89219422199318,4702.0310859620095,4629.584723868511,18.45186196234094,96,40,25,78.6908260716999,96.70419281848577,797.1210209068656,794.5612395359594,3.166835728689959,26,1,0,14.027312052452181,98.77659929302838
core,lower,unadjusted,142,25090.068055555555,16712.988951423074,16542.417352635704,65.9321342453386,119,83,59,218.93654777846524,92.89219422199318,4806.51006092332,4732.569840248105,18.8623236484215,98,42,25,79.87941165865179,95.91741347329588,843.0912199609052,840.1949342757107,3.3487152462692142,26,1,0,14.618483979127554,97.4797250033658
core,upper,restricted,142,25090.068055555555,16712.988951423074,16542.417352635704,65.9321342453386,119,83,59,218.93654777846524,92.89219422199318,5276.5412806469,5200.386976948232,20.726874735585817,99,46,30,89.13496489261114,97.06304054179276,1802.8795395251575,1791.830258288444,7.14159186145248,59,14,5,33.1507896559528,98.9525420642716
core,upper,unadjusted,142,25090.068055555555,16712.988951423074,16542.417352635704,65.9321342453386,119,83,59,218.93654777846524,92.89219422199318,5381.456651073824,5303.807405564573,21.139071419896688,101,49,30,90.33025427822527,96.35359076779372,1905.5270915480016,1892.638143023104,7.5433758841639635,62,14,5,34.60999136639085,97.79953125567673
